;0
960; salary to recruitment@wevalue.com.hk Personal data collected will be used for recruitment purposes only.  
961; inter-personal skills and strong sense of ownershipGood command of English and Chinese  
962; Delivery of UI components across various sprints  Prototype creative solutions quickly, and be able to collaborate with other team to implement technical solution  Developing new user-facing features using React.js/Redux  Building reusable components and front-end libraries for future use  Optimizing components for maximum performance across a vast array of web-capable devices and browsers This role requires a wide variety of strengths and capabilities, including: CS or equivalent degree, with 5+ years of experience in software development  Proficiency in React.js, JavaScript, CSS3, Typescript, HTML5, ES5/ES6  Thorough understanding of React.js ecosystem and their core principles  Hands-on experience in creating responsive designs  Experience of common front-end development tools such as Babel, Webpack, NPM, Gulp, Selenium, mock server  Experience of automated build and testing tools for UI components like Jenkins, Jasmine  Familiarity with code versioning tools such as Git  Pro-active, delivery focus, strong experience on Agile programming  Excellent analytical, problem solving skills Desirable Skills, Including Data visualization development experience  Pandas / NumPy development experience  Experience of working in an environment within financial services  Proficiency in Python  Self-starter with the ability to quickly pick up new ideas, concepts, and technologies  Experience of full project lifecycle, breaking requirements down into technical deliverables and effort estimation  Experience of stakeholder management with the ability to challenge the status quo and propose alternatives  Disciplined approach to code management, testing and deployment practices and high-quality delivery J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.          
963;Bachelor or above in Computer Science / Information Technology or related disciplineExperience/ Knowledge in web programming Knowledge in Java / JavaScript / NodeJS / AngularJS / React is highly advantageFresh graduates will also be considered  All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.          
964;":This specific role is related to shared mobile services in the area of mobile development. The base components and services for mobile development, as well as the mobile foundation server components, for example, notification and analytics, must be provided. Later, the development of mobile banking applications as a development service must be provided.Within the team, you will be able to contribute in your current specified area of expertise.As a member of the Delivery Team you will:• work in different roles across the whole solution lifecycle (system analysis & technical design, frontend- & backend-development, system integration, documentation, third level support)• provide applications in best quality as requested by specifications• document your provided solutions• analyze root-causes in case of incidents and provide solutions for solving the problem• support the business in case of effort estimations and feasibility studies• perform code reviews and share best practices with colleaguesSkillsMust have• Bachelors degree in technology or related field required OR equitable experience• Minimum 4 years in native Mobile applications development on Android OS• Strong knowledge of Kotlin, Kotlin core aspects, exception handing, understanding of how Kotlin converts to Java• Very good knowledge of the architecture of Android and how to best utilize it• Good understanding of MVVM architecture design• Strong knowledge of hybrid mobile design principles, patterns, and best practices• Strong expertise in web services, and enterprise architectures, application development in Java and distributed system's engineering• Experience in implementing security in mobile apps• Experience in performance optimization of mobile apps• Experience in consuming RESTful services, JSON, and HTTP• Strong analytical and problem-solving skillsNice to have• Experience with JavaScript, CSS, HTML5• Experience in server-based application development• Version control system;• Experience in app development process in an enterprise environment (testing, continuous integration, release process);• Experience in building mobile application architecture.• Mobile app deployment process• Knowledge of agile development methodologies;• Experience in coordinating team members  "
965; more options             Quantitative Developer, Experienced Hire              Sapientia Technologies Limited                        Hong Kong, Hong Kong SAR          On-site            3 weeks ago           Full-time · Entry level11-50 employees · Investment ManagementSee recent hiring trends for Sapientia Technologies Limited. Try Premium for free     Easy Apply         Save            Save Quantitative Developer, Experienced Hire at Sapientia Technologies Limited                     Quantitative Developer, Experienced Hire            Sapientia Technologies LimitedHong Kong, Hong Kong SAROn-site     Easy Apply         Save            Save Quantitative Developer, Experienced Hire at Sapientia Technologies Limited                  Show more options              About Your RoleThe developer role will be an integral part of our trading and research process. Core responsibilities include:Develop, test, and maintain live trading systems on top of our in-house DMA system. Emphasis will be on the prompt, robust internal flow from data to execution rather than market accessScrape data from various sources, including the internet, data terminal, etc. Work with DBA to ensure robust delivery of dataAbout Your BackgroundBachelor’s degree or above majored in Computer Science, Computer Engineering or other Engineering subjects.Development experience in Linux platform1-6 years working experience from technology industry background, with top-notch skills of C++ or Java. Knowledge in Python is an advantageWilling to pick up PythonGood communications in team settingsYour opportunitiesStay ahead of market with latest technology & knowledge sharingSenior Partner one-on-one mentorshipHighly competitive compensation packageWork in a flat structure where your talent gets noticed and promoted quicklyWork with like-mind people who share common value of being highly motivated, meticulous in details, and systematic thinking. Privacy Statement Data collected will be used for recruitment purposes only. Personal data provided will be used strictly in accordance with the relevant data protection law of Hong Kong Special Administration Region.Powered by JazzHR0Y6ki6FSOi          
966;" salary to Human Resources Department by clicking ""Apply Now"".To learn us more, please visit our website: www.asl.com.hkWe are an equal opportunity employer. All applications will be treated in strict confidence. We regret that only shortlisted candidates will be notified. All personal data will be destroyed within six months after the selection process.          "
967;Bachelor’s Degree with Honor (or equivalent) or above in Computer Science, Software Engineering or an IT related discipline from a prestigious institution3-5 years of experience in software developmentStrong development skills in Python and VBA (knowledge of Java is preferred)Familiar with quickly building front office tactical tools to assist the desk in bau.Preferably experienced of front office systems development in one the below areas:Front Office Risk management tools across FICC products such as Rates, FX, Bonds, and Commodities.Bond pricing & contributionRepo/Bond OMSIntraday Risk and PnL system for FX, Rates or Credit desksKnowledge of below areas will be added advantage:Proficiency in Angular frameworkFamiliarity with Agile development artifacts and best practices.Bloomberg/Reuters APIs for market data and reference dataAbility to mesh requirements-driven tasks and technical debt reduction tasksStrong problem-solving and analytical skillsStrong attention to detailsWilling to learn new technologies and/or functional skills If you are seeking a dynamic environment in which to build your career in CLSA, please send your resume to recruitment@clsa.com. Kindly specify the position title in the email subject for job application.CLSA may collect personal data from you for purposes relating to your engagement with the Company, including human resource management and other business and internal / external compliance purposes. Any personal information and /or data collected and held by the Company may be used by the Company or transferred (whether within/ outside Hong Kong) to any other parties within the Company, subsidiaries and affiliates of the Company, internal or external service providers, or any other relevant parties including governmental or regulatory authorities, for the above purposes.  
968;" more options             Cloud Engineer              Rosewood Hotel Group                        Hong Kong, Hong Kong SAR          On-site            2 weeks ago                            12 applicants                Full-time · Associate10,001+ employees · HospitalitySee recent hiring trends for Rosewood Hotel Group. Try Premium for freeActively recruiting     Easy Apply         Save            Save Cloud Engineer at Rosewood Hotel Group                     Cloud Engineer            Rosewood Hotel GroupHong Kong, Hong Kong SAROn-site     Easy Apply         Save            Save Cloud Engineer at Rosewood Hotel Group                  Show more options              ABOUT ROSEWOOD HOTEL GROUPRosewood Hotel Group, a privately owned company, is one of the world’s leading global lifestyle and hospitality management groups. It encompasses five brands: ultra-luxury Rosewood Hotels & Resorts; upper-upscale New World Hotels & Resorts; KHOS, a lifestyle concept by Rosewood; Asaya, an integrated well-being concept; and Carlyle & Co., a modern and progressive private members clubs. Its combined hotel portfolio consists of more than 35 properties in 18 countries with nearly 30 new properties currently under development.KEY RESPONSIBILITIESThe role will be responsible the configuration, provisioning, and operational support of the cloud platforms AWS & Azure. GCP in the near futurePerform implementation, maintenance and support of all Cloud environmentsCooperate with Corporate IT & Local IT teams on cloud integration and optimization as neededPerform migration of on-premises applications onto Cloud platforms as neededContinually research and deploy new services so that Cloud infrastructure is current and meets company high availability and up-time requirements and high security standardsCRITICAL SKILLS & QUALIFICATIONS Degree in Information Technology/Computer Science/Computer Engineering or other relevant disciplines2-3 years of experience using AWS and/or Azure for cloud transformation projects, cloud operations, and security control implementationAWS, Azure, or GCP certifications on system administrations and operationsExperience with implementing the following AWS Cloud Tech Stack: S3, Lambda, ALB, API Gateway, Cloudfront, ELB, ECS, EKS, Fargate, EMS, RDS, Redshift, Athena, Cognito, KMSExperience with monitoring tools: Cloud Watch, New Relic APMSolid knowledge on VM, Docker, server, storage, networking, backup/recovery and securityExperience with code repositories: Bitbucket, Github, AWS CodeCommit is a plusExperience with CI/CD automation (Jenkins, CircleCi, Gitlab) is a plusSelf-motived and able to work independentlyEnglish language proficiently is a must  "
969; salary to Talent Acquisition via email to careers@astri.orgThe application will be open until the position is filled. Only short-listed candidates will be notified. ASTRI reserves the right not to fill the position.ASTRI is an Equal Opportunities Employer. Personal data provided by job applicants will be used exclusively for recruitment only.          
970;:Strong in Java developmentKnowledge and experience with SpringSolid knowledge of Hybris platform and experience developing on itExperience with B2C and/or B2B Hybris acceleratorKnowledge on Hybris ORM, WCMS, Backoffice, Cockpits  
971;est invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.Location StatementFor additional information about location requirements, please discuss with the recruiter following submission of your application.Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.          
972;Experience with application containerization (Docker / Kubernetes / AWS ECS or EKS)Experience with CI/CD in particular with AWS managed services: CodeCommit, CodeBuild, CodeDeploy, CodePipeline and CodeArtifact.Experience with ETL processing in a cloud environment (nice to have would be AWS Glue and Athena experience). Important here would be Python experience with Pandas libraries. Also nice would be PySpark.Cloud storage in particular AWS S3. Knowledge about storage formats such as Parquet and JSON. Schema specifications languages like Avro would be good also.Streaming and integration technologies such as Apache Kafka or AWS KinesisSecurity experience with AWS IAMAirflow or Amazon Managed Workflows for Apache Airflow (MWAA), experience would also be good.BenefitsWe offer an attractive compensation package working in a cutting-edge field of Fintech.Huge responsibilities from Day 1. Be the owner of your own learning curve. The possibilities are limitless and depend on youYou get to work in a very dynamic environment and be part of an international teamYou will get to have involvement in developing brand new products from scratch using latest technologies alongside with a passionate and talented team  
973;" to self-organize and collaborate on the best way to solve problems, and they are collectively responsible for the entire team's delivery. Engineering teams are small and cross-functional, and value learning and knowledge sharing.At Schonfeld, we strive to cultivate a sense of belonging throughout all of our employees with Diversity, Equity and Inclusion at the forefront of this mission. As a firm we are committed to creating a hiring process which is not only fair, but also welcoming and supportive. On a daily basis, our employees welcome diversity across identity, thought, people and views which serves as the foundation of our culture and success. You can learn more about our DEI initiatives here - Belonging @ Schonfeld.Who We AreSchonfeld Strategic Advisors is a multi-manager platform that invests its capital with Internal and Partner portfolio managers, primarily on an exclusive or semi-exclusive basis, across four trading strategies; quantitative, fundamental equity, tactical trading and discretionary macro & fixed income. We have created a unique structure to provide global portfolio managers with autonomy, flexibility and support to best enable them to maximize the value of their businesses.Over the last 30 years, Schonfeld has successfully capitalized on inefficiencies and opportunities within the markets. We have developed and invested heavily in proprietary technology, infrastructure and risk analytics and continue to capitalize on new opportunities. In 2021 we launched our newest strategy, discretionary macro & fixed income as part of the continual growth of Schonfeld’s investible universe. Our portfolio exposure has expanded across the Americas, Europe and Asia as well as multiple asset classes and products.          "
974;"Associate Degree/ Higher Diploma or above in Computer Science, Software Engineering or related disciplineExperience in Java Application Framework, such as Hibernate, Spring and PrimeFaces;Knowledge of Java reporting tools;Knowledge in Linux is preferable; andGood communication in Cantonese and English; Mandarin is an advantageWelcome Fresh graduateTo apply for this role, please click the ""Apply Now"" below or send your full resume by MS word format.Only shortlisted candidate will be notified. Personal data collected by job applicants will be kept in strict confidence and used for recruitment purpose only          "
975; plus.Experience in leading a sizeable data solutions project.Good presentation skills to business stakeholders.Good communication skills in English and Cantonese.Degree from a reputable University.If this outstanding opportunity sounds like your next career move, please send your resume in Word format to Danny Kwan at resume(at)pinpointasia(dot)com and put ETL Data Senior System Analyst - Leading Bank in the subject header.Data provided is for recruitment purposes only.          
976; salary via [email redacted, apply via Company website]For more job opportunity, please visit our website: www.clts.comThe personal information collected is strictly for recruitment purpose only.  
977; more options             Full Stack Engineer - Comparison              Hyphen Group                        Hong Kong, Hong Kong SAR          Hybrid            2 days ago                            13 applicants                Full-time · Associate201-500 employees · IT Services and IT ConsultingSee how you compare to 13 applicants. Try Premium for freeActively recruiting     Apply         Save            Save Full Stack Engineer - Comparison at Hyphen Group                     Full Stack Engineer - Comparison            Hyphen GroupHong Kong, Hong Kong SARHybrid     Apply         Save            Save Full Stack Engineer - Comparison at Hyphen Group                  Show more options              At Hyphen Group, we strive to expand the financial ecosystem in Asia by converting complex online financial systems into simple solutions, helping financial institutions accelerate their growth while improving millions of consumers’ financial health. In less than a year, we have processed more than 4 million transactions, and worked with more than 150 financial institutions. We are looking for a fullstack Brand Engineer to lead a cross functional team serving our customer's needs. In an exciting, international and fast-paced work environment, you will be given challenging and diverse opportunities every day. This role is able to work from Singapore, Hong Kong, Thailand, Malaysia, Philippines, Taiwan.If you are:An obsessive automator who only wants to manually test things once.A concise documenter who takes as much care of their README.md as they do their service interface.An owner end to end, Frontend, Backend, CI/CD, Operations, understanding what it takes to build a resilient, scalable service and support it in production.A designer focused on crafting superb user experience with frontend frameworks like Next.js and ReactA polyglot engineer that chooses programming language based on the problem you’re solving. A problem solver that makes all problems look small with Java and Spring Framework.Then we would really like to work with you!Here is what you would be doing at Hyphen Group:Build high quality, fault tolerant systems and products, owning all areas of implementation, frontend, backend, CI pipeline, automated test suites and operationsWork with your product owner and business stakeholders to define the product and tech roadmaps.Engage with the wider engineering organization, making sure your tech roadmap aligns with the other teams.Apart from challenging problems to solve we also offer:The opportunity for your work to impact over 12 million people across Asia monthlyOwnership & autonomy of your services (from emerging ones to large scale opportunities)Career growth – Access to learning programs, 1:1 coaching, onboarding program, working closely with a high-caliber management teamTeam offsites and events (Once we can travel again)Flexible / Asynchronous work environment to help you maintain a healthy work/life balance  
978; of you?3+ years’ experience in either native iOS/Android development, or cross-platform solutions like ReactNative/Flutter/Lua. Fluent with at least one of the following languages: Java/Objective-C/Swift/JavaScript. Understanding of common data structures and algorithms. Embrace agile development process including TDD, CI, and Scrum. Passionate about mobile technology and building applications to a large user baseWhere are you going to work?As an experienced Mobile Apps Developer (iOS/Android), you will join a cryptocurrency exchange that provides a platform for trading various cryptocurrencies. It is the world's largest cryptocurrency, spot & derivatives, and bitcoin exchange. Where 20 million users across 200 countries and regions and has the second-largest trading volume among all the popular platforms.Learn more or apply directly?How do you feel about this Job? Are you ready for the challenges in this Dynamic Company? You can apply directly, click on the ‘Apply’ button. For more information about this vacancy or other opportunities, you can contact me at Larissa.li@ambitiouspeople.com or call me on 3511 6261.          
979; more options             Mobile Developer (Android)              Zühlke Group                        Hong Kong, Hong Kong SAR                       2 months ago                            5 applicants                Full-time · Entry level1,001-5,000 employees · IT Services and IT Consulting1 school alumniSee how you compare to 5 applicants. Try Premium for freeActively recruiting     Apply         Save            Save Mobile Developer (Android) at Zühlke Group                     Mobile Developer (Android)            Zühlke GroupHong Kong, Hong Kong SAR      Apply         Save            Save Mobile Developer (Android) at Zühlke Group                  Show more options                          Your Part.We are looking for an engaged and passionate Mobile Engineer who is excited by the opportunity to build mobile solutions for our clients while being an important part of our fast-growing Hong Kong office.At Zuhlke Hong Kong, we take on innovative projects across many industries and you will work in cross-functional teams that are inspiring and energizing.You are a trusted partner to our clients and thus play a critical role in working closely with them to meet their needs.You will contribute to the success of our clients while also rapidly learning and further developing your own skills - the diversity of challenges is vast!Our reputation is fundamental to our business, so our culture emphasizes quality, reliability, and respect and you’ll embody these principles in your work.Zuhlke's values of continuous development and knowledge sharing means that you'll be working with the latest methods and tools to stay up to date with the latest trends.Your Talent.You have a degree in computer science or an equivalent related field.You have at least 2 or more years of experience in mobile software development.You are experienced in Android (Java, Kotlin)Extra points if you have professional experience with hybrid app solutions like Cordova, React Native, Ionic, Xamarin, etc.You leverage your UX and design skills to build applications that delight users.You value high quality code and you want to satisfy your thirst for knowledge of the latest technologies every day.You have a good foundation in Java to complement your experience in mobile development.You have thorough knowledge in the build, deployment, and release of mobile applications.You have a good understanding of REST principles and you are a facilitator for the team in developing interfaces for mobile devices.You have professional experience working in an Agile development environment.You have strong communication skills and are very team-oriented.Your Benefits.Competitive salary and the security of a long-running, international success story.Become a part of company that demonstrates a true commitment to work-life balance.Dedicated to your professional development, we invest 10% of our turnover in training, camps, and opportunities for active knowledge sharing among experts.A clearly defined career growth plan with personal goals and achievement-based career prospects.  
980;"This specific role is related to shared mobile services in the area of mobile development. The base components and services for mobile development, as well as the mobile foundation server components, for example, notification and analytics, must be provided. Later, the development of mobile banking applications as a development service must be provided.Within the team, you will be able to contribute in your current specified area of expertise. As a member of the Delivery Team you will:Work in different roles across the whole solution lifecycle (system analysis & technical design, frontend- & backend-development, system integration, documentation, third level support)Provide applications in best quality as requested by specificationsDocument your provided solutionsAnalyze root-causes in case of incidents and provide solutions for solving the problemSupport the business in case of effort estimations and feasibility studiesPerform code reviews and share best practices with colleaguesSkills Must haveBachelors degree in technology or related field required OR equitable experienceMinimum 4 years in native Mobile applications development on Android OSStrong knowledge of Kotlin, Kotlin core aspects, exception handing, understanding of how Kotlin converts to JavaVery good knowledge of the architecture of Android and how to best utilize itGood understanding of MVVM architecture designStrong knowledge of hybrid mobile design principles, patterns, and best practicesStrong expertise in web services, and enterprise architectures, application development in Java and distributed system's engineeringExperience in implementing security in mobile appsExperience in performance optimization of mobile appsExperience in consuming RESTful services, JSON, and HTTPStrong analytical and problem-solving skillsNice-to-haveExperience with JavaScript, CSS, HTML5Experience in server-based application developmentVersion control system;Experience in app development process in an enterprise environment (testing, continuous integration, release process);Experience in building mobile application architecture.Mobile app deployment processKnowledge of agile development methodologies;Experience in coordinating team membersWhy this jobRelocating? With 42 offices in 22 countries, Luxoft runs a variety of projects across multiple cultures that you can experience by relocating. Check out at: https://career.luxoft.com/relocation/Working Permit SponsorshipHealth/medical insuranceGenerous holiday allowanceFlexible working hoursStable and big project with a good chance to development in future career path with large cape environment  "
981;Graduate in STEM-related discipline such as Computer Science, Electronic Engineering, Information Engineering and Mathematics or relevant disciplineA bachelor’s degree, master’s degree or a doctoral degree’s holder is welcome to applyFor bachelor’s degree holder, they will be considered for the position of Engineering Associate (PI)Proficiency in Python or C++ programmingExperience with deep learning frameworks such as TensorFlow, PyTorch and othersExposure to C, C#, CUDA or SQL programming is a plusExperience with GUI development tools such as Qt, MFC, Dash, Flask or Django is a plusStrong teamwork and good analytical thinking skillsGood verbal and written communication skills in EnglishApplicationTo apply, please email graduates@astri.org with your resume, you must quote the Job Ref No. and include the following information:Name of UniversityDegree/PhD obtained/expecting and whenHave you participated in ITF Research Talent Hub before? Yes/NoIf you answer Yes in item 3, please state the periodHave you been employed by ASTRI before? If yes, please state the periodThe resume should not include any sensitive personal information such as HKID or passport number, photo, etc.The application will be open until the position is filled. Only short-listed candidates will be notified. ASTRI reserves the right not to fill the position.ASTRI is an Equal Opportunities Employer. Personal data provided by job applicants will be used exclusively for recruitment only. For details, please refer to ASTRI Privacy Policy Statement., (https://www.astri.org/privacy/) in particular section 9.  
982; more options             R0167934-Human Resources – HR Business Management Analyst – Associate              Deutsche Bank                        Hong Kong, Hong Kong SAR          On-site            1 week ago                            39 applicants                Full-time · Associate10,001+ employees · Financial Services36 school alumniSee how you compare to 39 applicants. Try Premium for freeYou have a preferred skill badge     Apply         Save            Save R0167934-Human Resources – HR Business Management Analyst – Associate at Deutsche Bank                     R0167934-Human Resources – HR Business Management Analyst – Associate            Deutsche BankHong Kong, Hong Kong SAROn-site     Apply         Save            Save R0167934-Human Resources – HR Business Management Analyst – Associate at Deutsche Bank                  Show more options                   Posted by                  Pushkaraj Khadkikar             HR at Resource Solutions                    Send InMailJob Description SummaryThe Business Management Analyst focuses on supporting activities, which are in the main to ensure the delivery of other Business Management team members’ responsibilities. The tasks with which a Business Management Analyst is involved may be biased toward liaison, collation and analytical tasks, which then aids the building their knowledge base. The involvement is likely to be limited to a selection from the range Business Management activities (cost, performance, headcount) at any one time. Typically the Business Management Analyst has no line reporting responsibilities and liaison is usually limited to internal contact points. Job Description* Responsible for HR team meeting coordination, HR department's business contingency process, and HR administration.* Support the design, implementation and governance of country HR policies.* Support for all regulatory (Employment Law, Immigration etc.) and internal governance requirements including tracking regulatory changes and driving internal policy / process changes.* Support for all regulatory and internal management reporting including regular and ad hoc regulatory requests and enquiries, regulatory surveys and disclosures.* Support for HR vendor governance and performance management.* Support for the Suitability assessment of management body members and key function holders* Support for the communications, logistics and operational aspects of people engagement programs, learning and development programs.* Further develop by taking part in other HR-related projects (e.g. HR policies updates and implementation, support on new HR admin processes, and system implementations). Details of the Division and Team:The HR Business Management Analyst is responsible for any one or more of the following activities, support for all regulatory and internal governance requirements, liaison with MI team on management reporting, monitor on vendor governance and performance management, coordinate the business contingency and team meeting. This role reports into the Hong Kong Onshore HR Operation Lead. Your key responsibilities:Responsible for HR team meeting coordination, HR department's business contingency process, and HR administration.Support the design, implementation and governance of country HR policies.Support for all regulatory (Employment Law, Immigration etc.) and internal governance requirements including tracking regulatory changes and driving internal policy / process changes.Support for all regulatory and internal management reporting including regular and ad hoc regulatory requests and enquiries, regulatory surveys and disclosures.Support for HR vendor governance and performance management.Support for the Suitability assessment of management body members and key function holdersSupport for the communications, logistics and operational aspects of people engagement programs, learning and development programs.Further develop by taking part in other HR-related projects (e.g. HR policies updates and implementation, support on new HR admin processes, and system implementations). Your skills and experience:Min 3 years' experience in a similar role, in a multinational bank or financial services organization.Working knowledge on Hong Kong labor as well as financial laws and regulations.Working knowledge of Workday or other HR systems preferred.Advanced MS Excel proficiency, intermediate level for other MS applications.Able to communicate professionally and effectively at all levels and across cultures in English.Comfortable working in a complex and matrixed organization. Recommended Key Competencies:Performance driven mindsetAttention to detailPerformance OrientationIntegrity, Trust & FairnessOpenness to Innovation & ChangeTime management and prioritizationCustomer & Service OrientationCommunication and Influencing Skills  
983;: Have practical experience in quantitative trading of financial productsComputer-related / financial engineering / financial mathematics and other science and engineering disciplinesProficient in a development language, for example, more than 3 years of Python experience under LinuxInterested in quantitative trading / blockchain, able to adapt to a fast-paced and efficient working environment  
984; Bachelor Degree or High Diploma in Computer Science, Software Engineering, Programming, IT or equivalent.  Minimum 1 year of solid experience in web application development, preferably in PHP, Java, or similar development platforms. Candidate with rich experience will be considered to take up a more senior role.  A good understanding of relational database concept.  Experience in MS SQL, MySQL, Oracle PL/SQL would be an advantage.  Good writing and communication skills in English.  Fast learner with strong problem solving and analytical skills.  Self-motivated team player and able to display passion in application development.  Creative and able to work independently.  Fresh graduates or candidates with less practical experience but strong programming concepts will also be considered.  All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.          
985;Create and execute automation test scripts using Java and SeleniumEnd-to-end testing from creating test plan, test case, test scripts, and executionsResponsible for managing and coordinating the end-to-end delivery of key automation testCommunicate test progress, test results, and other relevant information to international stakeholders and managementParticipate in Scrum meetings and provide input to business requirements, functional specifications, and user storiesDesired Skills And Experience2+ years in automation testingTechnical proficiency in java, Selenium, Cucumber and BDD frameworkExperience testing in an Agile environmentExcellent communication skills in English (Chinese is not necessary)  
986;Degree in Computer Science or equivalent1+ years of programming experienceExperience in Android/ React NativeCan apply Object Oriented concepts and Design Patterns to mobileprogrammingGenuine interest in programming and likes to play new technology  
987;:B.S. or M.S. in Computer Science or related technical fieldExperience in developing large scale applications in React.jsExperience in state management library such as ReduxExperience in testing frameworks such as Jest, React Testing Library, CypressGood motivation and interested in blockchain and cryptocurrencyStrong interest and ability to learn other coding languages as needed, a fast learner and have a “get things done” mentalityHumble to embrace better ideas from others, eager to make things better, open to challenges and possibilitiesGood command of spoken and written EnglishCandidates with more experience will be considered for senior position What can you expect from us?We offer an attractive compensation package working in a cutting-edge field of Fintech.Huge responsibilities from Day 1. Be the owner of your own learning curve. The possibilities are limitless and depend on youYou get to work in a very dynamic environment and be part of an international teamYou will get to have involvement in developing a brand new product from scratch alongside with a talented team  
988;Around 2 - 5 years of experience in adopting Kubernetes in an enterprise environment.Hands-on skill in managing & optimizing the Kubernetes native artifact. Experience in monitoring & fine-tuning the Kubernetes platform.Experience with Cloud Native Software like Istio, RabbitMQ, Kafka, Fluentd/FluentBit, Prometheus & Grafana, and Thanos.Experience in adopting and provisioning AWS EKS or Azure AKS.Certification in Kuebernets Developers or Administrator is preferred.Good communication skills in English.Bachelor's Degree in Computer Science-related discipline. If this outstanding opportunity sounds like your next career move, please send your resume in Word format to Danny Kwan at resume(at)pinpointasia(dot)com and put Cloud Kubernetes Platform Reliability Engineer - Leading Enterprise in the subject header.Data provided is for recruitment purposes only.          
989; more options             Junior Business Analyst/ Business Analyst (URGENT, 15K-25K)              ManpowerGroup HK                        Hong Kong, Hong Kong SAR          On-site            1 week ago                            1 applicant                Contract · Entry level51-200 employees · Staffing and RecruitingSee recent hiring trends for ManpowerGroup HK. Try Premium for freeActively recruiting     Apply         Save            Save Junior Business Analyst/ Business Analyst (URGENT, 15K-25K) at ManpowerGroup HK                     Junior Business Analyst/ Business Analyst (URGENT, 15K-25K)            ManpowerGroup HKHong Kong, Hong Kong SAROn-site     Apply         Save            Save Junior Business Analyst/ Business Analyst (URGENT, 15K-25K) at ManpowerGroup HK                  Show more options              Degree in IT, Computer Science or related field0-3 years’ experience5-day work, 9am-6pmOur client, is now looking for captioned position to join their team.Job DescriptionAssist in organizing various business and technical units to jointly develop and implement metadata improvement workContinuously monitor the quality of metadata and follow upAssist in the establishment and maintenance of the data integrity of the metadata management systemLiaising with various business units on business requirementsPrepare data analysis and executive report in ppt formatSupport metadata classification and other data management tasksRequirementBachelor Degree or Higher Diploma in Computer Science, Information Technology or related disciplinesInterest in data governance, metadata management or data quality managementGood knowledge in MS Office applications, SQL, Python, Macro/ AccessFamiliar with Chinese input methodsLess experience and Fresh Graduate will also be considered  
990;"Education Degree in Information Systems, Business Administration, Finance or other related fieldsIndustry Knowledge of private banking/wealth management and understanding of products covered by wealth managers, client profiling processes, financial planning approaches, advisory regulations, portfolio management, and portfolio performance analysisDomain experience in Private Banking/Wealth Management preferred, financial services experience as a minimumKnowledge of analysis methodology, modelling tools and Confluence as well as Agile methodologies preferred Expert with Excel and Data Analysis, including modelling, lookups and macro writing Possess business savvy but a techie at heart; Additional exposure to SQL, Java, Data Modelling and Mapping,Product Development Lifecycle, SaaS Delivery is a definite advantage Technical software spec writing and documentation Superior time management and negotiation skillsProven track record of strong scope and change controlIndependent person with strong sense of work commitment and presentation skills, and ability to handle fast-paced environment  "
991;Point, etc.) Effective Communication - strong verbal and written communication skills across audience levels, ability to keep business / HR partners / key stakeholders apprised of updates, strong attention to detail, organizational skills and follow-through, comfortable facilitating sessions and speaking in front of large audiences Self-Starter: ability to effectively prioritize, determine key needs and execute tasks with limited direction, exercise discretion and sound judgment and escalate issues appropriately, ability to troubleshoot, strategize and implement process changes with minimal direction, strong attention to detail, organizational skills and follow-through Relationship Management Skills : Strong relationship management skills, ability to liaise effectively with business leaders and stakeholders, strong interest in working with and developing junior talent Flexibility: Flexibility in work hours as required by training programs, ability to travel to Brooklyn for trainings led out of NYC area (travel up to 15% when training programs have resumed in-person) Experience in designing training program content /agendas and training program facilitation are preferred but not requiredInterested parties please click “Apply Now” to apply job.All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.          
